id,scenarioname,periodname,customername,productname,demandstatus,originaldemandquantity,serveddemandquantity,unserveddemandquantity,demandquantityuom,originaldemandvolume,serveddemandvolume,unserveddemandvolume,demandvolumeuom,originaldemandweight,serveddemandweight,unserveddemandweight,demandweightuom,revenue,concentrationrisk,sourcecountrisk,geographicrisk,latitude,longitude,costtoserve,userdefinedrisk
1273,1. China 2 MFGs Only,SinglePeriod,CZ_Seattle,FG_0001,served,894.0,894.0,0.0,EA,894.0,894.0,0.0,CFT,894.0,894.0,0.0,LB,0.0,10.0,10.0,3.109071060402,47.603832,-122.330062,13103043.256274326,
1274,1. China 2 MFGs Only,SinglePeriod,CZ_Pittsburgh,FG_0001,served,645.0,645.0,0.0,EA,645.0,645.0,0.0,CFT,645.0,645.0,0.0,LB,0.0,8.94587805435,10.0,3.427491634827,40.441694,-79.990086,6845818.219346953,
1275,1. China 2 MFGs Only,SinglePeriod,CZ_Raleigh,FG_0001,served,501.0,501.0,0.0,EA,501.0,501.0,0.0,CFT,501.0,501.0,0.0,LB,0.0,8.288193651519,10.0,3.45692252043,35.780398,-78.639099,5675259.018183169,
1276,1. China 2 MFGs Only,SinglePeriod,CZ_Atlanta,FG_0001,served,808.0,808.0,0.0,EA,808.0,808.0,0.0,CFT,808.0,808.0,0.0,LB,0.0,9.690340260333,10.0,3.559071060402,33.748992,-84.390264,9317331.770575251,
1277,1. China 2 MFGs Only,SinglePeriod,CZ_Salt Lake City,FG_0001,served,628.0,628.0,0.0,EA,628.0,628.0,0.0,CFT,628.0,628.0,0.0,LB,0.0,8.868234756794,10.0,3.109071060402,40.75962,-111.886798,8550585.923602961,
1278,1. China 2 MFGs Only,SinglePeriod,CZ_Fresno,FG_0001,served,645.0,645.0,0.0,EA,645.0,645.0,0.0,CFT,645.0,645.0,0.0,LB,0.0,8.94587805435,10.0,2.734071060402,36.739442,-119.784831,9523559.2819128,
1279,1. China 2 MFGs Only,SinglePeriod,CZ_Seattle,FG_0002,served,505.0,505.0,0.0,EA,505.0,505.0,0.0,CFT,505.0,505.0,0.0,LB,0.0,8.306462662708,10.0,3.109071060402,47.603832,-122.330062,7961654.1610414665,
1280,1. China 2 MFGs Only,SinglePeriod,CZ_Pittsburgh,FG_0002,served,729.0,729.0,0.0,EA,729.0,729.0,0.0,CFT,729.0,729.0,0.0,LB,0.0,9.329527289335,10.0,3.427491634827,40.441694,-79.990086,8545830.457198467,
1281,1. China 2 MFGs Only,SinglePeriod,CZ_Raleigh,FG_0002,served,862.0,862.0,0.0,EA,862.0,862.0,0.0,CFT,862.0,862.0,0.0,LB,0.0,9.936971911395,10.0,3.45692252043,35.780398,-78.639099,10720578.645538,
1282,1. China 2 MFGs Only,SinglePeriod,CZ_Atlanta,FG_0002,served,885.0,885.0,0.0,EA,885.0,885.0,0.0,CFT,885.0,885.0,0.0,LB,0.0,10.0,10.0,3.559071060402,33.748992,-84.390264,11186714.234810488,
1283,1. China 2 MFGs Only,SinglePeriod,CZ_Salt Lake City,FG_0002,served,936.0,936.0,0.0,EA,936.0,936.0,0.0,CFT,936.0,936.0,0.0,LB,0.0,10.0,10.0,3.109071060402,40.75962,-111.886798,13782213.008246513,
1284,1. China 2 MFGs Only,SinglePeriod,CZ_Fresno,FG_0002,served,720.0,720.0,0.0,EA,720.0,720.0,0.0,CFT,720.0,720.0,0.0,LB,0.0,9.288422014158,10.0,2.734071060402,36.739442,-119.784831,11429432.679879049,
1285,3. All 4 MFGs,SinglePeriod,CZ_Seattle,FG_0001,served,894.0,894.0,0.0,EA,894.0,894.0,0.0,CFT,894.0,894.0,0.0,LB,0.0,10.0,10.0,3.109071060402,47.603832,-122.330062,12274994.473450813,
1286,3. All 4 MFGs,SinglePeriod,CZ_Pittsburgh,FG_0001,served,645.0,645.0,0.0,EA,645.0,645.0,0.0,CFT,645.0,645.0,0.0,LB,0.0,8.94587805435,10.0,3.427491634827,40.441694,-79.990086,6248400.4733501235,
1287,3. All 4 MFGs,SinglePeriod,CZ_Raleigh,FG_0001,served,501.0,501.0,0.0,EA,501.0,501.0,0.0,CFT,501.0,501.0,0.0,LB,0.0,8.288193651519,10.0,3.45692252043,35.780398,-78.639099,5211218.257339121,
1288,3. All 4 MFGs,SinglePeriod,CZ_Atlanta,FG_0001,served,808.0,808.0,0.0,EA,808.0,808.0,0.0,CFT,808.0,808.0,0.0,LB,0.0,9.690340260333,10.0,3.559071060402,33.748992,-84.390264,8568938.687217982,
1289,3. All 4 MFGs,SinglePeriod,CZ_Salt Lake City,FG_0001,served,628.0,628.0,0.0,EA,628.0,628.0,0.0,CFT,628.0,628.0,0.0,LB,0.0,8.868234756794,10.0,3.109071060402,40.75962,-111.886798,7968914.071686669,
1290,3. All 4 MFGs,SinglePeriod,CZ_Fresno,FG_0001,served,645.0,645.0,0.0,EA,645.0,645.0,0.0,CFT,645.0,645.0,0.0,LB,0.0,8.94587805435,10.0,2.734071060402,36.739442,-119.784831,8926141.53591597,
1291,3. All 4 MFGs,SinglePeriod,CZ_Seattle,FG_0002,served,505.0,505.0,0.0,EA,505.0,505.0,0.0,CFT,505.0,505.0,0.0,LB,0.0,8.306462662708,10.0,3.109071060402,47.603832,-122.330062,8826856.701265758,
1292,3. All 4 MFGs,SinglePeriod,CZ_Pittsburgh,FG_0002,served,729.0,729.0,0.0,EA,729.0,729.0,0.0,CFT,729.0,729.0,0.0,LB,0.0,9.329527289335,10.0,3.427491634827,40.441694,-79.990086,9794806.005363828,
1293,3. All 4 MFGs,SinglePeriod,CZ_Raleigh,FG_0002,served,862.0,862.0,0.0,EA,862.0,862.0,0.0,CFT,862.0,862.0,0.0,LB,0.0,9.936971911395,10.0,3.45692252043,35.780398,-78.639099,12197419.417168373,
1294,3. All 4 MFGs,SinglePeriod,CZ_Atlanta,FG_0002,served,885.0,885.0,0.0,EA,885.0,885.0,0.0,CFT,885.0,885.0,0.0,LB,0.0,10.0,10.0,3.559071060402,33.748992,-84.390264,12702960.270649096,
1295,3. All 4 MFGs,SinglePeriod,CZ_Salt Lake City,FG_0002,served,936.0,936.0,0.0,EA,936.0,936.0,0.0,CFT,936.0,936.0,0.0,LB,0.0,10.0,10.0,3.109071060402,40.75962,-111.886798,15385835.934285989,
1296,3. All 4 MFGs,SinglePeriod,CZ_Fresno,FG_0002,served,720.0,720.0,0.0,EA,720.0,720.0,0.0,CFT,720.0,720.0,0.0,LB,0.0,9.288422014158,10.0,2.734071060402,36.739442,-119.784831,12662988.776832495,
1297,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Seattle,FG_0001,served,894.0,894.0,0.0,EA,894.0,894.0,0.0,CFT,894.0,894.0,0.0,LB,0.0,10.0,10.0,3.109071060402,47.603832,-122.330062,12275870.535230473,
1298,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Pittsburgh,FG_0001,served,645.0,645.0,0.0,EA,645.0,645.0,0.0,CFT,645.0,645.0,0.0,LB,0.0,8.94587805435,10.0,3.427491634827,40.441694,-79.990086,6249032.531345516,
1299,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Raleigh,FG_0001,served,501.0,501.0,0.0,EA,501.0,501.0,0.0,CFT,501.0,501.0,0.0,LB,0.0,8.288193651519,10.0,3.45692252043,35.780398,-78.639099,5211709.204712285,
1300,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Atlanta,FG_0001,served,808.0,808.0,0.0,EA,808.0,808.0,0.0,CFT,808.0,808.0,0.0,LB,0.0,9.690340260333,10.0,3.559071060402,33.748992,-84.390264,8569730.474598257,
1301,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Salt Lake City,FG_0001,served,628.0,628.0,0.0,EA,628.0,628.0,0.0,CFT,628.0,628.0,0.0,LB,0.0,8.868234756794,10.0,3.109071060402,40.75962,-111.886798,7969529.47078916,
1302,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Fresno,FG_0001,served,645.0,645.0,0.0,EA,645.0,645.0,0.0,CFT,645.0,645.0,0.0,LB,0.0,8.94587805435,10.0,2.734071060402,36.739442,-119.784831,8926773.593911361,
1303,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Seattle,FG_0002,served,505.0,505.0,0.0,EA,505.0,505.0,0.0,CFT,505.0,505.0,0.0,LB,0.0,8.306462662708,10.0,3.109071060402,47.603832,-122.330062,8104106.7862206865,
1304,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Pittsburgh,FG_0002,served,729.0,729.0,0.0,EA,729.0,729.0,0.0,CFT,729.0,729.0,0.0,LB,0.0,9.329527289335,10.0,3.427491634827,40.441694,-79.990086,8751469.989387875,
1305,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Raleigh,FG_0002,served,862.0,862.0,0.0,EA,862.0,862.0,0.0,CFT,862.0,862.0,0.0,LB,0.0,9.936971911395,10.0,3.45692252043,35.780398,-78.639099,10963735.403764708,
1306,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Atlanta,FG_0002,served,885.0,885.0,0.0,EA,885.0,885.0,0.0,CFT,885.0,885.0,0.0,LB,0.0,10.0,10.0,3.559071060402,33.748992,-84.390264,11436358.934381992,
1307,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Salt Lake City,FG_0002,served,936.0,936.0,0.0,EA,936.0,936.0,0.0,CFT,936.0,936.0,0.0,LB,0.0,10.0,10.0,3.109071060402,40.75962,-111.886798,14046244.012539089,
1308,2. Brazil and Vietnam MFG Only,SinglePeriod,CZ_Fresno,FG_0002,served,720.0,720.0,0.0,EA,720.0,720.0,0.0,CFT,720.0,720.0,0.0,LB,0.0,9.288422014158,10.0,2.734071060402,36.739442,-119.784831,11632533.452411799,
1309,4. Max Emissions Cap,SinglePeriod,CZ_Seattle,FG_0001,served,894.0,894.0,0.0,EA,894.0,894.0,0.0,CFT,894.0,894.0,0.0,LB,0.0,10.0,10.0,3.109071060402,47.603832,-122.330062,12244835.229412805,
1310,4. Max Emissions Cap,SinglePeriod,CZ_Pittsburgh,FG_0001,served,645.0,645.0,0.0,EA,645.0,645.0,0.0,CFT,645.0,645.0,0.0,LB,0.0,8.94587805435,10.0,3.427491634827,40.441694,-79.990086,6226641.287215322,
1311,4. Max Emissions Cap,SinglePeriod,CZ_Raleigh,FG_0001,served,501.0,501.0,0.0,EA,501.0,501.0,0.0,CFT,501.0,501.0,0.0,LB,0.0,8.288193651519,10.0,3.45692252043,35.780398,-78.639099,5194316.936015809,
1312,4. Max Emissions Cap,SinglePeriod,CZ_Atlanta,FG_0001,served,808.0,808.0,0.0,EA,808.0,808.0,0.0,CFT,808.0,808.0,0.0,LB,0.0,9.690340260333,10.0,3.559071060402,33.748992,-84.390264,8541680.66799795,
1313,4. Max Emissions Cap,SinglePeriod,CZ_Salt Lake City,FG_0001,served,628.0,628.0,0.0,EA,628.0,628.0,0.0,CFT,628.0,628.0,0.0,LB,0.0,8.868234756794,10.0,3.109071060402,40.75962,-111.886798,7947728.383481002,
1314,4. Max Emissions Cap,SinglePeriod,CZ_Fresno,FG_0001,served,645.0,645.0,0.0,EA,645.0,645.0,0.0,CFT,645.0,645.0,0.0,LB,0.0,8.94587805435,10.0,2.734071060402,36.739442,-119.784831,8904382.349781167,
1315,4. Max Emissions Cap,SinglePeriod,CZ_Seattle,FG_0002,served,505.0,505.0,0.0,EA,505.0,505.0,0.0,CFT,505.0,505.0,0.0,LB,0.0,8.306462662708,10.0,3.109071060402,47.603832,-122.330062,7747725.600837452,
1316,4. Max Emissions Cap,SinglePeriod,CZ_Pittsburgh,FG_0002,served,729.0,729.0,0.0,EA,729.0,729.0,0.0,CFT,729.0,729.0,0.0,LB,0.0,9.329527289335,10.0,3.427491634827,40.441694,-79.990086,8237010.812864354,
1317,4. Max Emissions Cap,SinglePeriod,CZ_Raleigh,FG_0002,served,862.0,862.0,0.0,EA,862.0,862.0,0.0,CFT,862.0,862.0,0.0,LB,0.0,9.936971911395,10.0,3.45692252043,35.780398,-78.639099,10355417.420001645,
1318,4. Max Emissions Cap,SinglePeriod,CZ_Atlanta,FG_0002,served,885.0,885.0,0.0,EA,885.0,885.0,0.0,CFT,885.0,885.0,0.0,LB,0.0,10.0,10.0,3.559071060402,33.748992,-84.390264,10811809.728314346,
1319,4. Max Emissions Cap,SinglePeriod,CZ_Salt Lake City,FG_0002,served,936.0,936.0,0.0,EA,936.0,936.0,0.0,CFT,936.0,936.0,0.0,LB,0.0,10.0,10.0,3.109071060402,40.75962,-111.886798,13385703.83527432,
1320,4. Max Emissions Cap,SinglePeriod,CZ_Fresno,FG_0002,served,720.0,720.0,0.0,EA,720.0,720.0,0.0,CFT,720.0,720.0,0.0,LB,0.0,9.288422014158,10.0,2.734071060402,36.739442,-119.784831,11124425.623746596,
1321,Baseline,SinglePeriod,CZ_Seattle,FG_0001,served,894.0,894.0,0.0,EA,894.0,894.0,0.0,CFT,894.0,894.0,0.0,LB,0.0,10.0,10.0,3.109071060402,47.603832,-122.330062,12244835.229412805,
1322,Baseline,SinglePeriod,CZ_Pittsburgh,FG_0001,served,645.0,645.0,0.0,EA,645.0,645.0,0.0,CFT,645.0,645.0,0.0,LB,0.0,8.94587805435,10.0,3.427491634827,40.441694,-79.990086,6226641.287215322,
1323,Baseline,SinglePeriod,CZ_Raleigh,FG_0001,served,501.0,501.0,0.0,EA,501.0,501.0,0.0,CFT,501.0,501.0,0.0,LB,0.0,8.288193651519,10.0,3.45692252043,35.780398,-78.639099,5194316.936015809,
1324,Baseline,SinglePeriod,CZ_Atlanta,FG_0001,served,808.0,808.0,0.0,EA,808.0,808.0,0.0,CFT,808.0,808.0,0.0,LB,0.0,9.690340260333,10.0,3.559071060402,33.748992,-84.390264,8541680.66799795,
1325,Baseline,SinglePeriod,CZ_Salt Lake City,FG_0001,served,628.0,628.0,0.0,EA,628.0,628.0,0.0,CFT,628.0,628.0,0.0,LB,0.0,8.868234756794,10.0,3.109071060402,40.75962,-111.886798,7947728.383481002,
1326,Baseline,SinglePeriod,CZ_Fresno,FG_0001,served,645.0,645.0,0.0,EA,645.0,645.0,0.0,CFT,645.0,645.0,0.0,LB,0.0,8.94587805435,10.0,2.734071060402,36.739442,-119.784831,8904382.349781167,
1327,Baseline,SinglePeriod,CZ_Seattle,FG_0002,served,505.0,505.0,0.0,EA,505.0,505.0,0.0,CFT,505.0,505.0,0.0,LB,0.0,8.306462662708,10.0,3.109071060402,47.603832,-122.330062,7747725.600837452,
1328,Baseline,SinglePeriod,CZ_Pittsburgh,FG_0002,served,729.0,729.0,0.0,EA,729.0,729.0,0.0,CFT,729.0,729.0,0.0,LB,0.0,9.329527289335,10.0,3.427491634827,40.441694,-79.990086,8237010.812864354,
1329,Baseline,SinglePeriod,CZ_Raleigh,FG_0002,served,862.0,862.0,0.0,EA,862.0,862.0,0.0,CFT,862.0,862.0,0.0,LB,0.0,9.936971911395,10.0,3.45692252043,35.780398,-78.639099,10355417.420001645,
1330,Baseline,SinglePeriod,CZ_Atlanta,FG_0002,served,885.0,885.0,0.0,EA,885.0,885.0,0.0,CFT,885.0,885.0,0.0,LB,0.0,10.0,10.0,3.559071060402,33.748992,-84.390264,10811809.728314346,
1331,Baseline,SinglePeriod,CZ_Salt Lake City,FG_0002,served,936.0,936.0,0.0,EA,936.0,936.0,0.0,CFT,936.0,936.0,0.0,LB,0.0,10.0,10.0,3.109071060402,40.75962,-111.886798,13385703.83527432,
1332,Baseline,SinglePeriod,CZ_Fresno,FG_0002,served,720.0,720.0,0.0,EA,720.0,720.0,0.0,CFT,720.0,720.0,0.0,LB,0.0,9.288422014158,10.0,2.734071060402,36.739442,-119.784831,11124425.623746596,
