id,scenarioname,facilityname,facilityriskscore,concentrationrisk,sourcecountrisk,utilizationrisk,geographicrisk,latitude,longitude,riskratingname,userdefinedrisk
979,1. China 2 MFGs Only,DC_Detroit,6.522848471548,10.0,10.0,,3.045696943096,42.331551,-83.04664,OptiRisk,
980,1. China 2 MFGs Only,MFG_Chengdu,3.408302221356,3.892911617569,0.0,,3.117536583628,30.659863,104.063372,OptiRisk,
981,1. China 2 MFGs Only,MFG_Overflow,1.0,1.0,,,,,,OptiRisk,
982,1. China 2 MFGs Only,MFG_Shanghai,5.690753955298,9.107088382431,0.0,,3.640953299017,31.2322758,121.4692071,OptiRisk,
983,1. China 2 MFGs Only,Port_Boston,2.759789700766,1.0,,,3.815663521225,42.360253,-71.058291,OptiRisk,
984,1. China 2 MFGs Only,Port_Hong Kong,6.335922454928,10.0,9.0,,3.071844909857,22.2996535,114.1675485,OptiRisk,
985,1. China 2 MFGs Only,Port_Kuala Lumpur,3.487325374541,1.0,,,4.979720599266,3.1516964,101.6942371,OptiRisk,
986,1. China 2 MFGs Only,Port_Long Beach,6.198285530201,10.0,10.0,,2.396571060402,33.769016,-118.191604,OptiRisk,
987,1. China 2 MFGs Only,Port_Recife,4.062827590601,1.0,,,5.900524144961,-8.0642,-34.8782,OptiRisk,
988,3. All 4 MFGs,DC_Detroit,6.322848471548,10.0,9.0,,3.045696943096,42.331551,-83.04664,OptiRisk,
989,3. All 4 MFGs,MFG_Belo Horizonte,5.794275772925,5.617195152866,0.0,,5.900524144961,-19.9227,-43.9451,OptiRisk,
990,3. All 4 MFGs,MFG_Chengdu,2.581944550426,1.689291161757,0.0,,3.117536583628,30.659863,104.063372,OptiRisk,
991,3. All 4 MFGs,MFG_Ho Chi Minh,4.197184320082,1.344645580878,0.0,,5.908707563605,10.7758439,106.7017555,OptiRisk,
992,3. All 4 MFGs,MFG_Overflow,1.0,1.0,,,,,,OptiRisk,
993,3. All 4 MFGs,MFG_Shanghai,3.7910931215,4.041326158971,0.0,,3.640953299017,31.2322758,121.4692071,OptiRisk,
994,3. All 4 MFGs,Port_Boston,5.592990306472,5.617195152866,10.0,,3.815663521225,42.360253,-71.058291,OptiRisk,
995,3. All 4 MFGs,Port_Hong Kong,5.240582886278,6.348868104499,9.0,,3.071844909857,22.2996535,114.1675485,OptiRisk,
996,3. All 4 MFGs,Port_Kuala Lumpur,4.893253973896,1.344645580878,10.0,,4.979720599266,3.1516964,101.6942371,OptiRisk,
997,3. All 4 MFGs,Port_Long Beach,5.213126984341,7.382804847134,9.0,,2.396571060402,33.769016,-118.191604,OptiRisk,
998,3. All 4 MFGs,Port_Recife,6.63542061834,5.617195152866,10.0,,5.900524144961,-8.0642,-34.8782,OptiRisk,
999,2. Brazil and Vietnam MFG Only,DC_Detroit,6.322848471548,10.0,9.0,,3.045696943096,42.331551,-83.04664,OptiRisk,
1000,2. Brazil and Vietnam MFG Only,MFG_Belo Horizonte,5.794275772925,5.617195152866,0.0,,5.900524144961,-19.9227,-43.9451,OptiRisk,
1001,2. Brazil and Vietnam MFG Only,MFG_Ho Chi Minh,6.461494044928,7.382804847134,0.0,,5.908707563605,10.7758439,106.7017555,OptiRisk,
1002,2. Brazil and Vietnam MFG Only,MFG_Overflow,1.0,1.0,,,,,,OptiRisk,
1003,2. Brazil and Vietnam MFG Only,Port_Boston,5.592990306472,5.617195152866,10.0,,3.815663521225,42.360253,-71.058291,OptiRisk,
1004,2. Brazil and Vietnam MFG Only,Port_Hong Kong,2.29490306866,1.0,,,3.071844909857,22.2996535,114.1675485,OptiRisk,
1005,2. Brazil and Vietnam MFG Only,Port_Kuala Lumpur,6.704701753773,7.382804847134,10.0,,4.979720599266,3.1516964,101.6942371,OptiRisk,
1006,2. Brazil and Vietnam MFG Only,Port_Long Beach,5.413126984341,7.382804847134,10.0,,2.396571060402,33.769016,-118.191604,OptiRisk,
1007,2. Brazil and Vietnam MFG Only,Port_Recife,6.63542061834,5.617195152866,10.0,,5.900524144961,-8.0642,-34.8782,OptiRisk,
1008,4. Max Emissions Cap,DC_Detroit,6.322848471548,10.0,9.0,,3.045696943096,42.331551,-83.04664,OptiRisk,
1009,4. Max Emissions Cap,MFG_Belo Horizonte,5.794275772925,5.617195152866,0.0,,5.900524144961,-19.9227,-43.9451,OptiRisk,
1010,4. Max Emissions Cap,MFG_Chengdu,2.323460364768,1.0,,,3.117536583628,30.659863,104.063372,OptiRisk,
1011,4. Max Emissions Cap,MFG_Ho Chi Minh,4.067942227253,1.0,,,5.908707563605,10.7758439,106.7017555,OptiRisk,
1012,4. Max Emissions Cap,MFG_Overflow,1.0,1.0,,,,,,OptiRisk,
1013,4. Max Emissions Cap,MFG_Shanghai,5.044147629561,7.382804847134,0.0,,3.640953299017,31.2322758,121.4692071,OptiRisk,
1014,4. Max Emissions Cap,Port_Boston,5.592990306472,5.617195152866,10.0,,3.815663521225,42.360253,-71.058291,OptiRisk,
1015,4. Max Emissions Cap,Port_Hong Kong,5.750763909068,7.382804847134,10.0,,3.071844909857,22.2996535,114.1675485,OptiRisk,
1016,4. Max Emissions Cap,Port_Kuala Lumpur,3.487325374541,1.0,,,4.979720599266,3.1516964,101.6942371,OptiRisk,
1017,4. Max Emissions Cap,Port_Long Beach,5.413126984341,7.382804847134,10.0,,2.396571060402,33.769016,-118.191604,OptiRisk,
1018,4. Max Emissions Cap,Port_Recife,6.63542061834,5.617195152866,10.0,,5.900524144961,-8.0642,-34.8782,OptiRisk,
1019,Baseline,DC_Detroit,6.322848471548,10.0,9.0,,3.045696943096,42.331551,-83.04664,OptiRisk,
1020,Baseline,MFG_Belo Horizonte,5.794275772925,5.617195152866,0.0,,5.900524144961,-19.9227,-43.9451,OptiRisk,
1021,Baseline,MFG_Chengdu,2.323460364768,1.0,,,3.117536583628,30.659863,104.063372,OptiRisk,
1022,Baseline,MFG_Ho Chi Minh,4.067942227253,1.0,,,5.908707563605,10.7758439,106.7017555,OptiRisk,
1023,Baseline,MFG_Overflow,1.0,1.0,,,,,,OptiRisk,
1024,Baseline,MFG_Shanghai,5.044147629561,7.382804847134,0.0,,3.640953299017,31.2322758,121.4692071,OptiRisk,
1025,Baseline,Port_Boston,5.592990306472,5.617195152866,10.0,,3.815663521225,42.360253,-71.058291,OptiRisk,
1026,Baseline,Port_Hong Kong,5.750763909068,7.382804847134,10.0,,3.071844909857,22.2996535,114.1675485,OptiRisk,
1027,Baseline,Port_Kuala Lumpur,3.487325374541,1.0,,,4.979720599266,3.1516964,101.6942371,OptiRisk,
1028,Baseline,Port_Long Beach,5.413126984341,7.382804847134,10.0,,2.396571060402,33.769016,-118.191604,OptiRisk,
1029,Baseline,Port_Recife,6.63542061834,5.617195152866,10.0,,5.900524144961,-8.0642,-34.8782,OptiRisk,
