id,scenarioname,periodname,facilityname,productname,inboundhandlingcost,stockingcost,destockingcost,outboundhandlingcost,inboundquantity,stockedquantity,destockedquantity,outboundquantity,quantityuom,inboundvolume,stockedvolume,destockedvolume,outboundvolume,volumeuom,inboundweight,stockedweight,destockedweight,outboundweight,weightuom,latitude,longitude
1169,1. China 2 MFGs Only,SinglePeriod,DC_Detroit,FG_0001,2060500.0,,,824200.0,4121.0,0,0,4121.0,EA,4121.0,0,0,4121.0,CFT,4121.0,0,0,4121.0,LB,42.331551,-83.04664
1170,1. China 2 MFGs Only,SinglePeriod,DC_Detroit,FG_0002,1391100.0,,,463700.0,4637.0,0,0,4637.0,EA,4637.0,0,0,4637.0,CFT,4637.0,0,0,4637.0,LB,42.331551,-83.04664
1171,1. China 2 MFGs Only,SinglePeriod,MFG_Chengdu,FG_0002,0.0,,,0.0,0.0,0,0,3018.405997333369,EA,0.0,0,0,3018.405997333369,CFT,0.0,0,0,3018.405997333369,LB,30.659863,104.063372
1172,1. China 2 MFGs Only,SinglePeriod,Port_Hong Kong,FG_0002,0.0,,,0.0,4637.0,0,0,4637.0,EA,4637.0,0,0,4637.0,CFT,4637.0,0,0,4637.0,LB,22.2996535,114.1675485
1173,1. China 2 MFGs Only,SinglePeriod,MFG_Shanghai,FG_0001,0.0,,,0.0,0.0,0,0,4121.0,EA,0.0,0,0,4121.0,CFT,0.0,0,0,4121.0,LB,31.2322758,121.4692071
1174,1. China 2 MFGs Only,SinglePeriod,Port_Hong Kong,FG_0001,0.0,,,0.0,4121.0,0,0,4121.0,EA,4121.0,0,0,4121.0,CFT,4121.0,0,0,4121.0,LB,22.2996535,114.1675485
1175,1. China 2 MFGs Only,SinglePeriod,MFG_Shanghai,FG_0002,0.0,,,0.0,0.0,0,0,1618.594002666631,EA,0.0,0,0,1618.594002666631,CFT,0.0,0,0,1618.594002666631,LB,31.2322758,121.4692071
1176,1. China 2 MFGs Only,SinglePeriod,Port_Long Beach,FG_0001,0.0,,,0.0,4121.0,0,0,4121.0,EA,4121.0,0,0,4121.0,CFT,4121.0,0,0,4121.0,LB,33.769016,-118.191604
1177,1. China 2 MFGs Only,SinglePeriod,Port_Long Beach,FG_0002,0.0,,,0.0,4637.0,0,0,4637.0,EA,4637.0,0,0,4637.0,CFT,4637.0,0,0,4637.0,LB,33.769016,-118.191604
1178,3. All 4 MFGs,SinglePeriod,DC_Detroit,FG_0001,2060500.0000000002,,,824200.0,4121.0,0,0,4121.0,EA,4121.0,0,0,4121.0,CFT,4121.0,0,0,4121.0,LB,42.331551,-83.04664
1179,3. All 4 MFGs,SinglePeriod,DC_Detroit,FG_0002,1391100.0,,,463700.0,4637.0,0,0,4637.0,EA,4637.0,0,0,4637.0,CFT,4637.0,0,0,4637.0,LB,42.331551,-83.04664
1180,3. All 4 MFGs,SinglePeriod,MFG_Chengdu,FG_0002,0.0,,,0.0,0.0,0,0,1207.362398933348,EA,0.0,0,0,1207.362398933348,CFT,0.0,0,0,1207.362398933348,LB,30.659863,104.063372
1181,3. All 4 MFGs,SinglePeriod,Port_Hong Kong,FG_0002,0.0,,,0.0,4033.318800533326,0,0,4033.318800533326,EA,4033.318800533326,0,0,4033.318800533326,CFT,4033.318800533326,0,0,4033.318800533326,LB,22.2996535,114.1675485
1182,3. All 4 MFGs,SinglePeriod,MFG_Shanghai,FG_0001,0.0,,,0.0,0.0,0,0,257.440323413287,EA,0.0,0,0,257.440323413287,CFT,0.0,0,0,257.440323413287,LB,31.2322758,121.4692071
1183,3. All 4 MFGs,SinglePeriod,Port_Hong Kong,FG_0001,0.0,,,0.0,257.440323413287,0,0,257.440323413287,EA,257.440323413287,0,0,257.440323413287,CFT,257.440323413287,0,0,257.440323413287,LB,22.2996535,114.1675485
1184,3. All 4 MFGs,SinglePeriod,MFG_Shanghai,FG_0002,0.0,,,0.0,0.0,0,0,2825.956401599978,EA,0.0,0,0,2825.956401599978,CFT,0.0,0,0,2825.956401599978,LB,31.2322758,121.4692071
1185,3. All 4 MFGs,SinglePeriod,MFG_Ho Chi Minh,FG_0002,0.0,,,0.0,0.0,0,0,603.681199466674,EA,0.0,0,0,603.681199466674,CFT,0.0,0,0,603.681199466674,LB,10.7758439,106.7017555
1186,3. All 4 MFGs,SinglePeriod,Port_Kuala Lumpur,FG_0002,0.0,,,0.0,603.681199466674,0,0,603.681199466674,EA,603.681199466674,0,0,603.681199466674,CFT,603.681199466674,0,0,603.681199466674,LB,3.1516964,101.6942371
1187,3. All 4 MFGs,SinglePeriod,MFG_Belo Horizonte,FG_0001,0.0,,,0.0,0.0,0,0,3863.559676586713,EA,0.0,0,0,3863.559676586713,CFT,0.0,0,0,3863.559676586713,LB,-19.9227,-43.9451
1188,3. All 4 MFGs,SinglePeriod,Port_Recife,FG_0001,0.0,,,0.0,3863.559676586713,0,0,3863.559676586713,EA,3863.559676586713,0,0,3863.559676586713,CFT,3863.559676586713,0,0,3863.559676586713,LB,-8.0642,-34.8782
1189,3. All 4 MFGs,SinglePeriod,Port_Long Beach,FG_0001,0.0,,,0.0,257.440323413287,0,0,257.440323413287,EA,257.440323413287,0,0,257.440323413287,CFT,257.440323413287,0,0,257.440323413287,LB,33.769016,-118.191604
1190,3. All 4 MFGs,SinglePeriod,Port_Long Beach,FG_0002,0.0,,,0.0,4637.0,0,0,4637.0,EA,4637.0,0,0,4637.0,CFT,4637.0,0,0,4637.0,LB,33.769016,-118.191604
1191,3. All 4 MFGs,SinglePeriod,Port_Boston,FG_0001,0.0,,,0.0,3863.559676586713,0,0,3863.559676586713,EA,3863.559676586713,0,0,3863.559676586713,CFT,3863.559676586713,0,0,3863.559676586713,LB,42.360253,-71.058291
1192,2. Brazil and Vietnam MFG Only,SinglePeriod,DC_Detroit,FG_0001,2060500.0,,,824200.0,4121.0,0,0,4121.0,EA,4121.0,0,0,4121.0,CFT,4121.0,0,0,4121.0,LB,42.331551,-83.04664
1193,2. Brazil and Vietnam MFG Only,SinglePeriod,DC_Detroit,FG_0002,1391100.0,,,463700.0,4637.0,0,0,4637.0,EA,4637.0,0,0,4637.0,CFT,4637.0,0,0,4637.0,LB,42.331551,-83.04664
1194,2. Brazil and Vietnam MFG Only,SinglePeriod,MFG_Ho Chi Minh,FG_0001,0.0,,,0.0,0.0,0,0,257.440323413287,EA,0.0,0,0,257.440323413287,CFT,0.0,0,0,257.440323413287,LB,10.7758439,106.7017555
1195,2. Brazil and Vietnam MFG Only,SinglePeriod,Port_Kuala Lumpur,FG_0001,0.0,,,0.0,257.440323413287,0,0,257.440323413287,EA,257.440323413287,0,0,257.440323413287,CFT,257.440323413287,0,0,257.440323413287,LB,3.1516964,101.6942371
1196,2. Brazil and Vietnam MFG Only,SinglePeriod,MFG_Ho Chi Minh,FG_0002,0.0,,,0.0,0.0,0,0,4637.0,EA,0.0,0,0,4637.0,CFT,0.0,0,0,4637.0,LB,10.7758439,106.7017555
1197,2. Brazil and Vietnam MFG Only,SinglePeriod,Port_Kuala Lumpur,FG_0002,0.0,,,0.0,4637.0,0,0,4637.0,EA,4637.0,0,0,4637.0,CFT,4637.0,0,0,4637.0,LB,3.1516964,101.6942371
1198,2. Brazil and Vietnam MFG Only,SinglePeriod,MFG_Belo Horizonte,FG_0001,0.0,,,0.0,0.0,0,0,3863.559676586713,EA,0.0,0,0,3863.559676586713,CFT,0.0,0,0,3863.559676586713,LB,-19.9227,-43.9451
1199,2. Brazil and Vietnam MFG Only,SinglePeriod,Port_Recife,FG_0001,0.0,,,0.0,3863.559676586713,0,0,3863.559676586713,EA,3863.559676586713,0,0,3863.559676586713,CFT,3863.559676586713,0,0,3863.559676586713,LB,-8.0642,-34.8782
1200,2. Brazil and Vietnam MFG Only,SinglePeriod,Port_Long Beach,FG_0001,0.0,,,0.0,257.440323413287,0,0,257.440323413287,EA,257.440323413287,0,0,257.440323413287,CFT,257.440323413287,0,0,257.440323413287,LB,33.769016,-118.191604
1201,2. Brazil and Vietnam MFG Only,SinglePeriod,Port_Long Beach,FG_0002,0.0,,,0.0,4637.0,0,0,4637.0,EA,4637.0,0,0,4637.0,CFT,4637.0,0,0,4637.0,LB,33.769016,-118.191604
1202,2. Brazil and Vietnam MFG Only,SinglePeriod,Port_Boston,FG_0001,0.0,,,0.0,3863.559676586713,0,0,3863.559676586713,EA,3863.559676586713,0,0,3863.559676586713,CFT,3863.559676586713,0,0,3863.559676586713,LB,42.360253,-71.058291
1203,4. Max Emissions Cap,SinglePeriod,DC_Detroit,FG_0001,2060500.0,,,824200.0,4121.0,0,0,4121.0,EA,4121.0,0,0,4121.0,CFT,4121.0,0,0,4121.0,LB,42.331551,-83.04664
1204,4. Max Emissions Cap,SinglePeriod,DC_Detroit,FG_0002,1391100.0,,,463700.0,4637.0,0,0,4637.0,EA,4637.0,0,0,4637.0,CFT,4637.0,0,0,4637.0,LB,42.331551,-83.04664
1205,4. Max Emissions Cap,SinglePeriod,MFG_Shanghai,FG_0001,0.0,,,0.0,0.0,0,0,257.440323413287,EA,0.0,0,0,257.440323413287,CFT,0.0,0,0,257.440323413287,LB,31.2322758,121.4692071
1206,4. Max Emissions Cap,SinglePeriod,Port_Hong Kong,FG_0001,0.0,,,0.0,257.440323413287,0,0,257.440323413287,EA,257.440323413287,0,0,257.440323413287,CFT,257.440323413287,0,0,257.440323413287,LB,22.2996535,114.1675485
1207,4. Max Emissions Cap,SinglePeriod,MFG_Shanghai,FG_0002,0.0,,,0.0,0.0,0,0,4637.0,EA,0.0,0,0,4637.0,CFT,0.0,0,0,4637.0,LB,31.2322758,121.4692071
1208,4. Max Emissions Cap,SinglePeriod,Port_Hong Kong,FG_0002,0.0,,,0.0,4637.0,0,0,4637.0,EA,4637.0,0,0,4637.0,CFT,4637.0,0,0,4637.0,LB,22.2996535,114.1675485
1209,4. Max Emissions Cap,SinglePeriod,MFG_Belo Horizonte,FG_0001,0.0,,,0.0,0.0,0,0,3863.559676586713,EA,0.0,0,0,3863.559676586713,CFT,0.0,0,0,3863.559676586713,LB,-19.9227,-43.9451
1210,4. Max Emissions Cap,SinglePeriod,Port_Recife,FG_0001,0.0,,,0.0,3863.559676586713,0,0,3863.559676586713,EA,3863.559676586713,0,0,3863.559676586713,CFT,3863.559676586713,0,0,3863.559676586713,LB,-8.0642,-34.8782
1211,4. Max Emissions Cap,SinglePeriod,Port_Long Beach,FG_0001,0.0,,,0.0,257.440323413287,0,0,257.440323413287,EA,257.440323413287,0,0,257.440323413287,CFT,257.440323413287,0,0,257.440323413287,LB,33.769016,-118.191604
1212,4. Max Emissions Cap,SinglePeriod,Port_Long Beach,FG_0002,0.0,,,0.0,4637.0,0,0,4637.0,EA,4637.0,0,0,4637.0,CFT,4637.0,0,0,4637.0,LB,33.769016,-118.191604
1213,4. Max Emissions Cap,SinglePeriod,Port_Boston,FG_0001,0.0,,,0.0,3863.559676586713,0,0,3863.559676586713,EA,3863.559676586713,0,0,3863.559676586713,CFT,3863.559676586713,0,0,3863.559676586713,LB,42.360253,-71.058291
1214,Baseline,SinglePeriod,DC_Detroit,FG_0001,2060500.0,,,824200.0,4121.0,0,0,4121.0,EA,4121.0,0,0,4121.0,CFT,4121.0,0,0,4121.0,LB,42.331551,-83.04664
1215,Baseline,SinglePeriod,DC_Detroit,FG_0002,1391100.0,,,463700.0,4637.0,0,0,4637.0,EA,4637.0,0,0,4637.0,CFT,4637.0,0,0,4637.0,LB,42.331551,-83.04664
1216,Baseline,SinglePeriod,MFG_Shanghai,FG_0001,0.0,,,0.0,0.0,0,0,257.440323413287,EA,0.0,0,0,257.440323413287,CFT,0.0,0,0,257.440323413287,LB,31.2322758,121.4692071
1217,Baseline,SinglePeriod,Port_Hong Kong,FG_0001,0.0,,,0.0,257.440323413287,0,0,257.440323413287,EA,257.440323413287,0,0,257.440323413287,CFT,257.440323413287,0,0,257.440323413287,LB,22.2996535,114.1675485
1218,Baseline,SinglePeriod,MFG_Shanghai,FG_0002,0.0,,,0.0,0.0,0,0,4637.0,EA,0.0,0,0,4637.0,CFT,0.0,0,0,4637.0,LB,31.2322758,121.4692071
1219,Baseline,SinglePeriod,Port_Hong Kong,FG_0002,0.0,,,0.0,4637.0,0,0,4637.0,EA,4637.0,0,0,4637.0,CFT,4637.0,0,0,4637.0,LB,22.2996535,114.1675485
1220,Baseline,SinglePeriod,MFG_Belo Horizonte,FG_0001,0.0,,,0.0,0.0,0,0,3863.559676586713,EA,0.0,0,0,3863.559676586713,CFT,0.0,0,0,3863.559676586713,LB,-19.9227,-43.9451
1221,Baseline,SinglePeriod,Port_Recife,FG_0001,0.0,,,0.0,3863.559676586713,0,0,3863.559676586713,EA,3863.559676586713,0,0,3863.559676586713,CFT,3863.559676586713,0,0,3863.559676586713,LB,-8.0642,-34.8782
1222,Baseline,SinglePeriod,Port_Long Beach,FG_0001,0.0,,,0.0,257.440323413287,0,0,257.440323413287,EA,257.440323413287,0,0,257.440323413287,CFT,257.440323413287,0,0,257.440323413287,LB,33.769016,-118.191604
1223,Baseline,SinglePeriod,Port_Long Beach,FG_0002,0.0,,,0.0,4637.0,0,0,4637.0,EA,4637.0,0,0,4637.0,CFT,4637.0,0,0,4637.0,LB,33.769016,-118.191604
1224,Baseline,SinglePeriod,Port_Boston,FG_0001,0.0,,,0.0,3863.559676586713,0,0,3863.559676586713,EA,3863.559676586713,0,0,3863.559676586713,CFT,3863.559676586713,0,0,3863.559676586713,LB,42.360253,-71.058291
